Huvudsektor,Län,Kommun,2010,2011,2012,2013,2014,2015,2016,2017
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Nyköping,2329.753,2158.948,2576.626,2710.16,2679.648,2395.759,2500.332,2494.594
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Oxelösund,731.9843,698.0563,652.8782,655.6489,627.5753,559.7678,595.9146,596.4758
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Flen,807.7579,743.2201,748.3588,785.1604,765.4726,679.476,711.0045,696.8508
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Katrineholm,1576.086,1458.752,1549.824,1614.392,1569.109,1383.336,1435.557,1429.728
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Eskilstuna,4242.157,3916.001,4529.125,4719.976,4561.747,4002.391,4170.908,4221.105
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Strängnäs,1273.252,1174.023,1540.968,1614.565,1592.342,1403.246,1461.261,1466.753
Produktanvändning (inkl. lösningsmedel),Södermanlands län,Trosa,467.4874,432.6641,557.3131,580.6479,580.6898,521.2509,549.4459,557.9832
Jordbruk,Södermanlands län,Vingåker,369.5993,369.7944,424.2885,425.6164,368.1811,371.6364,382.4818,380.7589
Jordbruk,Södermanlands län,Gnesta,382.2097,382.4115,438.7649,440.1381,380.7429,384.3161,395.5317,393.75
Jordbruk,Södermanlands län,Nyköping,1394.351,1395.087,1600.673,1605.683,1389.002,1402.038,1442.954,1436.454
Jordbruk,Södermanlands län,Oxelösund,9.863254,9.868461,11.3227,11.35814,9.825406,9.917617,10.20703,10.16105
Jordbruk,Södermanlands län,Flen,651.027,651.3709,747.3593,749.6983,648.5296,654.616,673.719,670.6843
Jordbruk,Södermanlands län,Katrineholm,933.1624,933.655,1071.242,1074.594,929.5821,938.306,965.688,961.338
Jordbruk,Södermanlands län,Eskilstuna,1269.368,1270.038,1457.196,1461.757,1264.496,1276.364,1313.611,1307.694
Jordbruk,Södermanlands län,Strängnäs,734.2267,734.6143,842.8693,845.5072,731.4095,738.2736,759.8181,756.3955
Jordbruk,Södermanlands län,Trosa,163.5997,163.6861,187.8075,188.3953,162.972,164.5015,169.302,168.5394
Avfall (inkl. avlopp),Södermanlands län,Vingåker,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Gnesta,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Nyköping,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Oxelösund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Flen,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Katrineholm,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Eskilstuna,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Strängnäs,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Avfall (inkl. avlopp),Södermanlands län,Trosa,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
